Lon,Lat,Clave,Edo,Est,Tmin
-109.93,23.97,PLNBS,BCS,Los Planes B.C.S.,11.4
-110,24.08,SARBS,BCS,El Sargento B.C.S.,12.9
-113.46,27.64,DORBS,BCS,DÌaz Ordaz B.C.S.,4.9
-114.05,27.96,GNGBS,BCS,Guerrero Negro B.C.S.,11.0
-111.98,26.9,MLGBS,BCS,MulegÈ B.C.S.,9.9
-110,23.56,SLAGUNA,BCS,Sierra La Laguna B.C.S. SMN*,10.2
-110.37,24.15,LPZBS,BCS,Observatorio de La Paz B.C.S.,13.8
-111.66,25.01,CCNBS,BCS,Observatorio de Ciudad ConstituciÛn B.C.S.,10.2
-111.35,26.01,LRTBS,BCS,Observatorio de Loreto B.C.S.,13.1
-112.27,27.34,SRLBS,BCS,Observatorio de Santa RosalÌa B.C.S.,13.7
-113.46,27.64,DIAZORDAZBN,BCS,Gustavo DÌçaz Ordaz B.C.S. SMN*,9.3
-109.72,23.14,MMSD,BCS,Aeropuerto Internacional de Los Cabos B.C.S.*,14.2
-110.37,24.08,MMLP,BCS,Aeropuerto Internacional de La Paz B.C.S.*,10.6
-111.35,25.99,MMLT,BCS,Aeropuerto Internacional de Loreto B.C.S.*,16.3
-109.42,23.45,CPULMO,BCS,Cabo Pulmo B.C.S. SMN*,17.6
-110.32,24.12,LAPAZob,BCS,Observatorio de La Paz B.C.S. SMN*,14.5
-111.83,24.48,PCORTESMAR,BCS,Puerto CortÈs B.C.S. SEMAR*,15.6
-109.94,22.95,MMSL,BCS,AerÛdromo Internacional de Cabo San Lucas B.C.S.,15.8
-112.1,27.09,STAROSALIAMAR,BCS,Santa RosalÌa B.C.S. SEMAR*,15.8
-114.02,27.98,UABCSCGNJ,BCS,UABCS Campus Guerrero Negro B.C.S. JCAS*,10.1
-112.25,27.28,STAROSALIAob,BCS,Observatorio de Santa RosalÌa B.C.S. SMN*,17.0
-89.4,18.5,XPJCA,CAMP,Xpujil Camp.,16.8
-91.05,18.18,CNDCA,CAMP,Candelaria Camp.,18.0
-92.09,18.25,PLZCA,CAMP,Palizada Camp.,19.3
-90.74,18.6,ESCCA,CAMP,Esc·rcega Camp.,18.9
-91.76,18.65,CARCA,CAMP,El Carmen Camp.,20.8
-91.18,18.97,SBNCA,CAMP,Sabancuy Camp.,16.9
-90.58,19.3,CANCA,CAMP,Canasayab Camp.,16.4
-90.72,19.36,CHMCA,CAMP,ChampotÛn Camp.,19.2
-90.22,19.61,NYXCA,CAMP,Noh-YaxchÈ Camp.,13.9
-89.86,19.66,XCPCA,CAMP,Xcupil Camp.,14.6
-90.54,19.84,CMPCA,CAMP,Campeche Camp.,18.0
-90.51,19.84,COBCA,CAMP,Observatorio de Campeche Camp.,17.4
-90.11,20.18,HECCA,CAMP,Hecelchak·n Camp.,19.6
-90.82,18.06,MONCLOVACAMP,CAMP,Monclova Camp. SMN*,21.4
-91.8,18.65,MMCE,CAMP,Aeropuerto Internacional de Ciudad del Carmen Camp.*,21.9
-90.5,19.81,MMCP,CAMP,Aeropuerto Internacional de Campeche Camp.*,17.1
-89.89,18.36,CALCA,CAMP,Calakmul Camp. SMN*,16.9
-90.31,19.01,YOHALTUM,CAMP,Yohalt˙n Camp. SMN*,15.7
-89.74,20,BOLCA,CAMP,BolonchÈn Camp.,17.3
-92.1,18.25,PALIZADACA,CAMP,Palizada Camp. SMN*,19.0
-89.85,19.75,HPOCA,CAMP,Hopelchen Camp.,16.4
-99.2,19.3,DATDF,CDMX,DesviaciÛn Alta Cd. de MÈx.,9.4
-99.08,19.47,SJADF,CDMX,San Juan de AragÛn Cd. de MÈx.,6.9
-99.14,19.52,CEADF,CDMX,Campamento Amealco Cd. de MÈx.,8.7
-99.2,19.27,ECOGUARDAS,CDMX,Ecoguardas Ajusco Cd. de MÈx. SMN*,6.4
-99.1,19.39,TEZDF,CDMX,Tezontle Cd. de MÈx. SMN*,14.1
-99.2,19.41,CTMDF,CDMX,Observatorio de Tacubaya Cd. de MÈx.,10.3
